,userid,placeid,datetime,userid_int,placeid_int
0,0,0,2011-06-23T02:24:22Z,0,0
1,0,1,2011-06-22T14:23:03Z,0,1
2,0,2,2011-06-09T23:29:30Z,0,2
3,0,3,2011-05-22T15:54:30Z,0,3
4,0,4,2011-05-21T16:51:13Z,0,4
5,0,5,2011-05-16T18:40:41Z,0,5
6,0,6,2011-05-16T18:39:46Z,0,6
7,0,2,2011-04-24T17:13:13Z,0,2
8,0,7,2011-04-24T13:51:04Z,0,7
9,0,8,2011-04-06T14:39:58Z,0,8
10,0,7,2011-04-03T13:55:02Z,0,7
11,0,9,2011-03-29T00:59:26Z,0,9
12,0,10,2011-03-27T17:39:02Z,0,10
13,0,11,2011-03-14T20:31:53Z,0,11
14,0,12,2011-03-14T20:29:25Z,0,12
15,0,13,2011-03-14T19:59:19Z,0,13
16,0,14,2011-03-14T19:45:45Z,0,14
17,0,15,2011-03-14T19:36:30Z,0,15
18,0,16,2011-03-14T19:02:09Z,0,16
19,0,17,2011-03-14T19:00:51Z,0,17
20,0,18,2011-03-14T18:41:06Z,0,18
21,0,19,2011-03-14T18:40:04Z,0,19
22,0,20,2011-03-14T18:23:13Z,0,20
23,0,21,2011-03-14T18:21:51Z,0,21
24,0,22,2011-03-14T14:35:32Z,0,22
25,0,23,2011-03-06T18:27:02Z,0,23
26,0,24,2011-03-06T01:22:30Z,0,24
27,0,25,2011-02-19T22:00:42Z,0,25
28,0,26,2011-02-19T01:03:08Z,0,26
29,0,27,2011-02-18T20:02:39Z,0,27
30,0,28,2011-02-18T20:02:11Z,0,28
31,0,7,2011-01-23T14:55:36Z,0,7
32,0,29,2011-01-20T18:55:48Z,0,29
33,0,30,2011-01-20T15:40:46Z,0,30
34,0,23,2011-01-16T16:44:26Z,0,23
35,0,31,2011-01-13T14:39:06Z,0,31
36,0,32,2011-01-08T01:01:51Z,0,32
37,0,33,2010-12-24T23:52:54Z,0,33
38,0,34,2010-12-23T17:58:19Z,0,34
39,0,35,2010-12-20T23:38:06Z,0,35
40,0,36,2010-12-18T19:32:18Z,0,36
41,0,37,2010-12-17T19:00:07Z,0,37
42,0,38,2010-12-17T18:27:08Z,0,38
43,0,39,2010-12-14T00:19:54Z,0,39
44,0,40,2010-12-11T02:04:36Z,0,40
45,0,41,2010-12-11T02:04:02Z,0,41
46,0,42,2010-12-11T02:03:43Z,0,42
47,0,43,2010-12-11T02:02:56Z,0,43
48,0,44,2010-12-10T17:48:35Z,0,44
49,0,45,2010-12-10T17:29:27Z,0,45
50,0,46,2010-12-10T14:18:38Z,0,46
51,0,7,2010-11-07T17:10:42Z,0,7
52,0,47,2010-11-06T00:52:43Z,0,47
53,0,48,2010-11-04T19:06:20Z,0,48
54,0,49,2010-11-04T17:08:43Z,0,49
55,0,50,2010-11-04T16:25:16Z,0,50
56,0,51,2010-11-03T23:12:43Z,0,51
57,0,52,2010-11-03T23:12:07Z,0,52
58,0,53,2010-11-01T21:26:35Z,0,53
59,0,46,2010-11-01T16:53:15Z,0,46
60,0,54,2010-10-22T00:18:10Z,0,54
61,0,2,2010-10-07T21:08:35Z,0,2
62,0,55,2010-10-04T03:18:09Z,0,55
63,0,2,2010-09-21T23:56:36Z,0,2
64,0,56,2010-09-12T16:40:05Z,0,56
65,0,57,2010-09-11T15:35:21Z,0,57
66,0,58,2010-09-10T13:56:06Z,0,58
67,0,59,2010-08-22T19:00:45Z,0,59
68,0,2,2010-08-21T19:28:46Z,0,2
69,0,60,2010-08-17T20:40:22Z,0,60
70,0,61,2010-08-14T21:38:42Z,0,61
71,0,62,2010-08-14T15:43:59Z,0,62
72,0,2,2010-08-13T23:16:34Z,0,2
73,0,63,2010-08-10T19:28:38Z,0,63
74,0,64,2010-07-31T23:33:54Z,0,64
75,0,65,2010-07-31T23:12:16Z,0,65
76,0,66,2010-07-13T20:19:05Z,0,66
77,0,67,2010-07-12T12:24:16Z,0,67
78,0,2,2010-07-10T17:56:41Z,0,2
79,0,68,2010-07-10T17:55:59Z,0,68
