poi_osm,sub_poi_osm,gowalla_category
aeroway,aerodrome,Travel
aeroway,helipad,Travel
amenity,nightclub,Nightlife
amenity,language,Community
amenity,bbq,Food
amenity,theatre,Entertainment
amenity,cafe,Food
amenity,music,Entertainment
amenity,studio,Entertainment
amenity,arts,Entertainment
amenity,cinema,Entertainment
amenity,community,Community
amenity,planetarium,Entertainment
amenity,social,Entertainment
amenity,food,Food
amenity,fountain,Outdoors
amenity,library,Community
amenity,casino,Entertainment
amenity,brothel,Nightlife
amenity,pub,Nightlife
amenity,kindergarten,Community
amenity,restaurant,Food
amenity,university,Community
amenity,fast,Food
amenity,bar,Nightlife
amenity,college,Community
amenity,school,Community
amenity,ice,Entertainment
leisure,summer,Entertainment
leisure,dance,Nightlife
leisure,track,Entertainment
leisure,golf,Entertainment
leisure,adult,Nightlife
leisure,fishing,Outdoors
leisure,dog,Outdoors
leisure,water,Community
leisure,picnic,Outdoors
leisure,fitness,Community
leisure,playground,Outdoors
leisure,pitch,Outdoors
leisure,marina,Outdoors
leisure,park,Outdoors
leisure,stadium,Entertainment
leisure,horse,Entertainment
leisure,garden,Outdoors
office,yes,Community
office,financial,Community
office,engineer,Community
office,diplomatic,Community
office,insurance,Community
office,notary,Community
office,telecommunication,Community
office,association,Community
office,newspaper,Community
office,accountant,Community
office,water,Community
office,estate,Community
office,it,Community
office,research,Community
office,lawyer,Community
office,ngo,Community
office,architect,Community
office,company,Community
office,advertising,Community
office,logistics,Community
office,foundation,Community
office,coworking,Community
office,government,Community
office,quango,Community
shop,ice,Shopping
shop,gift,Shopping
shop,fashion,Shopping
shop,hearing,Shopping
shop,storage,Shopping
shop,anime,Shopping
shop,pet,Shopping
shop,general,Shopping
shop,cosmetics,Shopping
shop,appliance,Shopping
shop,religion,Shopping
shop,seafood,Shopping
shop,video,Shopping
shop,kiosk,Shopping
shop,toys,Shopping
shop,mobile,Shopping
shop,dry,Shopping
shop,glaziery,Shopping
shop,nutrition,Shopping
shop,motorcycle,Shopping
shop,deli,Shopping
shop,lighting,Shopping
shop,fabric,Shopping
shop,electronics,Shopping
shop,baby,Shopping
shop,houseware,Shopping
shop,vacant,Shopping
shop,tobacco,Shopping
shop,bag,Shopping
shop,fishing,Shopping
shop,radiotechnics,Shopping
shop,money,Shopping
shop,agrarian,Shopping
shop,second,Shopping
shop,craft,Shopping
shop,trade,Shopping
shop,water,Shopping
shop,photo,Shopping
shop,sewing,Shopping
shop,jewelry,Shopping
shop,sports,Shopping
shop,carpet,Shopping
shop,frame,Shopping
shop,pawnbroker,Shopping
shop,tiles,Shopping
shop,tea,Shopping
shop,art,Shopping
shop,herbalist,Shopping
shop,florist,Shopping
shop,tailor,Shopping
shop,hifi,Shopping
shop,mall,Shopping
shop,farm,Shopping
shop,music,Shopping
shop,shoes,Shopping
shop,paint,Shopping
shop,laundry,Shopping
shop,pastry,Shopping
shop,locksmith,Shopping
shop,computer,Shopping
shop,chemist,Shopping
shop,interior,Shopping
shop,department,Shopping
shop,medical,Shopping
shop,stationery,Shopping
shop,variety,Shopping
shop,tyres,Shopping
shop,books,Shopping
shop,clothes,Shopping
shop,hardware,Shopping
shop,garden,Shopping
shop,newsagent,Shopping
shop,travel,Shopping
shop,beauty,Shopping
shop,bakery,Shopping
shop,outdoor,Shopping
shop,car,Shopping
shop,funeral,Shopping
shop,wholesale,Shopping
shop,supermarket,Shopping
shop,butcher,Shopping
shop,gas,Shopping
shop,convenience,Shopping
shop,beverages,Shopping
shop,ticket,Shopping
shop,kitchen,Shopping
shop,alcohol,Shopping
shop,chocolate,Shopping
shop,copyshop,Shopping
shop,party,Shopping
shop,optician,Shopping
shop,confectionery,Shopping
shop,military,Shopping
shop,electrical,Shopping
shop,lottery,Shopping
shop,coffee,Shopping
shop,perfumery,Shopping
shop,health,Shopping
shop,erotic,Shopping
shop,musical,Shopping
shop,furniture,Shopping
shop,hairdresser,Shopping
shop,bed,Shopping
shop,bicycle,Shopping
shop,doityourself,Shopping
sport,boules,Entertainment
sport,karate,Entertainment
sport,tennis,Entertainment
sport,badminton,Entertainment
sport,yoga,Entertainment
sport,pelota,Entertainment
sport,basketball,Entertainment
sport,climbing,Entertainment
sport,canoe,Entertainment
sport,motor,Entertainment
sport,shooting,Entertainment
sport,motocross,Entertainment
sport,boxing,Entertainment
sport,judo,Entertainment
sport,bmx,Entertainment
sport,soccer,Entertainment
sport,cycling,Entertainment
sport,horse,Entertainment
sport,rowing,Entertainment
sport,beachvolleyball,Entertainment
sport,swimming,Entertainment
sport,multi,Entertainment
sport,crossfit,Entertainment
sport,equestrian,Entertainment
sport,athletics,Entertainment
sport,gymnastics,Entertainment
sport,fitness,Entertainment
sport,skateboard,Entertainment
sport,table,Entertainment
sport,running,Entertainment
sport,surfing,Entertainment
sport,volleyball,Entertainment
tourism,attraction,Travel
tourism,chalet,Travel
tourism,zoo,Travel
tourism,picnic,Travel
tourism,guest,Travel
tourism,artwork,Travel
tourism,viewpoint,Travel
tourism,apartment,Travel
tourism,motel,Travel
tourism,hotel,Travel
tourism,camp,Travel
tourism,museum,Travel
tourism,gallery,Travel
tourism,hostel,Travel
tourism,theme,Travel
tourism,information,Travel
